x,y,polygon_id
137,68,1
137,69,1
136,70,1
137,70,1
138,70,1
136,71,1
137,71,1
138,71,1
136,72,1
137,72,1
138,72,1
135,73,1
136,73,1
137,73,1
138,73,1
139,73,1
135,74,1
136,74,1
137,74,1
138,74,1
139,74,1
135,75,1
136,75,1
137,75,1
138,75,1
139,75,1
134,76,1
135,76,1
136,76,1
137,76,1
138,76,1
139,76,1
140,76,1
134,77,1
135,77,1
136,77,1
137,77,1
138,77,1
139,77,1
140,77,1
134,78,1
135,78,1
136,78,1
137,78,1
138,78,1
139,78,1
140,78,1
133,79,1
134,79,1
135,79,1
136,79,1
137,79,1
138,79,1
139,79,1
140,79,1
141,79,1
133,80,1
134,80,1
135,80,1
136,80,1
137,80,1
138,80,1
139,80,1
140,80,1
141,80,1
133,81,1
134,81,1
135,81,1
136,81,1
137,81,1
138,81,1
139,81,1
140,81,1
141,81,1
132,82,1
133,82,1
134,82,1
135,82,1
136,82,1
137,82,1
138,82,1
139,82,1
140,82,1
141,82,1
142,82,1
132,83,1
133,83,1
134,83,1
135,83,1
136,83,1
137,83,1
138,83,1
139,83,1
140,83,1
141,83,1
142,83,1
132,84,1
133,84,1
134,84,1
135,84,1
136,84,1
137,84,1
138,84,1
139,84,1
140,84,1
141,84,1
142,84,1
131,85,1
132,85,1
133,85,1
134,85,1
135,85,1
136,85,1
137,85,1
138,85,1
139,85,1
140,85,1
141,85,1
142,85,1
143,85,1
131,86,1
132,86,1
133,86,1
134,86,1
135,86,1
136,86,1
137,86,1
138,86,1
139,86,1
140,86,1
141,86,1
142,86,1
143,86,1
131,87,1
132,87,1
133,87,1
134,87,1
135,87,1
136,87,1
137,87,1
138,87,1
139,87,1
140,87,1
141,87,1
142,87,1
143,87,1
130,88,1
131,88,1
132,88,1
133,88,1
134,88,1
135,88,1
136,88,1
137,88,1
138,88,1
139,88,1
140,88,1
141,88,1
142,88,1
143,88,1
144,88,1
130,89,1
131,89,1
132,89,1
133,89,1
134,89,1
135,89,1
136,89,1
137,89,1
138,89,1
139,89,1
140,89,1
141,89,1
142,89,1
143,89,1
144,89,1
130,90,1
131,90,1
132,90,1
133,90,1
134,90,1
135,90,1
136,90,1
137,90,1
138,90,1
139,90,1
140,90,1
141,90,1
142,90,1
143,90,1
144,90,1
129,91,1
130,91,1
131,91,1
132,91,1
133,91,1
134,91,1
135,91,1
136,91,1
137,91,1
138,91,1
139,91,1
140,91,1
141,91,1
142,91,1
143,91,1
144,91,1
145,91,1
129,92,1
130,92,1
131,92,1
132,92,1
133,92,1
134,92,1
135,92,1
136,92,1
137,92,1
138,92,1
139,92,1
140,92,1
141,92,1
142,92,1
143,92,1
144,92,1
145,92,1
129,93,1
130,93,1
131,93,1
132,93,1
133,93,1
134,93,1
135,93,1
136,93,1
137,93,1
138,93,1
139,93,1
140,93,1
141,93,1
142,93,1
